band,comparator,outcome,n_origins,mean_difference,median_difference,std_difference,min_difference,max_difference,n_negative,n_positive,n_zero,sign_consistency_rate,exact_sign_test_pvalue
week_1,attended_demand,total_cost,13.0,-1680.9743589743616,-1886.0,2322.2944212389116,-4850.0,2292.0,10.0,3.0,0.0,0.7692307692307693,0.09228515625
week_1,attended_demand,unmet_visits,13.0,-3.553846153846152,0.0,36.625141987998155,-85.4,54.8,6.0,6.0,1.0,0.5,1.0
week_1,completed_visits,total_cost,13.0,1908.2051282051286,1104.0,2647.417992779008,-1692.0,7718.6666666666715,2.0,11.0,0.0,0.8461538461538461,0.0224609375
week_1,completed_visits,unmet_visits,13.0,-23.23076923076923,-16.59999999999999,30.262831565452935,-86.4,2.3999999999999986,8.0,1.0,4.0,0.8888888888888888,0.0390625
week_2,attended_demand,total_cost,13.0,-1698.8205128205143,-1451.333333333343,2183.219405913886,-4965.999999999996,2724.0,11.0,2.0,0.0,0.8461538461538461,0.0224609375
week_2,attended_demand,unmet_visits,13.0,-1.584615384615382,1.4210854715202004e-14,30.062319885914945,-90.39999999999999,30.80000000000001,4.0,7.0,2.0,0.6363636363636364,0.548828125
week_2,completed_visits,total_cost,13.0,2621.692307692309,1483.333333333343,2783.4325679633184,-150.0,8945.333333333343,3.0,10.0,0.0,0.7692307692307693,0.09228515625
week_2,completed_visits,unmet_visits,13.0,-15.430769230769231,0.0,28.70096933947774,-85.80000000000001,18.60000000000001,6.0,3.0,4.0,0.6666666666666666,0.5078125
week_3,attended_demand,total_cost,13.0,-2514.256410256411,-3270.000000000011,2595.9923035105544,-6999.999999999996,1450.0,11.0,2.0,0.0,0.8461538461538461,0.0224609375
week_3,attended_demand,unmet_visits,13.0,0.8923076923076985,4.400000000000006,38.58321011222502,-51.20000000000001,91.00000000000003,4.0,8.0,1.0,0.6666666666666666,0.3876953125
week_3,completed_visits,total_cost,13.0,1753.1794871794868,1833.3333333333285,1706.704647013288,-16.666666666656965,6086.0,1.0,12.0,0.0,0.9230769230769231,0.00341796875
week_3,completed_visits,unmet_visits,13.0,-12.415384615384617,0.0,33.763635422197616,-85.60000000000004,21.60000000000001,5.0,3.0,5.0,0.625,0.7265625
week_4,attended_demand,total_cost,13.0,-1405.3846153846143,-1352.0,4479.672908541576,-7698.0,9144.0,8.0,5.0,0.0,0.6153846153846154,0.5810546875
week_4,attended_demand,unmet_visits,13.0,13.53846153846154,9.800000000000004,25.874489961528344,-32.40000000000003,63.20000000000002,3.0,7.0,3.0,0.7,0.34375
week_4,completed_visits,total_cost,13.0,1383.538461538461,248.0,2831.0113280594855,-2150.0,7645.3333333333285,5.0,7.0,1.0,0.5833333333333334,0.7744140625
week_4,completed_visits,unmet_visits,13.0,-14.138461538461542,-6.399999999999988,23.247850741575323,-64.80000000000003,21.6,8.0,1.0,4.0,0.8888888888888888,0.0390625
