seed,capacity_multiplier,is_reference_cell,qualitative_replication,attended_total_cost_mean,completed_total_cost_mean,hybrid_total_cost_mean,attended_unmet_visits_mean,completed_unmet_visits_mean,hybrid_unmet_visits_mean,hybrid_vs_completed_cost_change_pct,hybrid_vs_completed_unmet_change_pct,hybrid_vs_attended_cost_change_pct,hybrid_vs_attended_unmet_change_pct,censoring_rate,capacity_pressure_rate,trigger_sensitivity_censored,trigger_false_positive_rate_uncensored,hybrid_pareto_dominates_both_censored
42,0.8,False,True,1986720.6666666667,1941234.0,1979806.0,1346.8000000000004,2059.05,1383.9500000000005,1.9869835372757767,-32.78696486243655,-0.348044231012512,2.758390258390242,0.2321428571428571,0.5662202380952381,0.9326923076923076,0.4554263565891472,False
42,1.0,True,True,1986720.6666666667,1966615.3333333333,1980398.5,1346.8000000000004,1416.9000000000003,1284.9500000000005,0.7008572766136645,-9.31258380972546,-0.3182212161347286,-4.5923670923671,0.0959821428571428,0.296875,0.813953488372093,0.2419753086419753,True
42,1.2,False,False,1986720.6666666667,1988408.3333333333,1990059.3333333333,1346.8000000000004,1328.7500000000002,1332.9500000000005,0.0830312352006812,0.3160865475070551,0.1680491234969716,-1.0283635283635406,0.0297619047619047,0.1049107142857142,0.5,0.0927914110429447,False
142,0.8,False,True,1545474.1666666667,1515985.6666666667,1540263.8333333333,987.7500000000002,1548.5500000000004,1033.1,1.6014773226747714,-33.28597720448162,-0.3371349353947006,4.591242723361155,0.1741071428571428,0.3526785714285714,0.8034188034188035,0.2576576576576576,False
142,1.0,False,True,1545474.1666666667,1532334.3333333335,1537505.0,987.7500000000002,1165.4500000000005,1017.2500000000002,0.3374372390011482,-12.716118237590637,-0.5156454141097,2.986585674512776,0.0662202380952381,0.1547619047619047,0.6292134831460674,0.1211155378486055,False
142,1.2,False,True,1545474.1666666667,1532120.1666666665,1533948.8333333333,987.7500000000002,1087.2000000000005,1071.3500000000004,0.1193553029619876,-1.4578734363502543,-0.7457473946776982,8.463680080992164,0.0200892857142857,0.0305059523809523,0.4074074074074074,0.0227790432801822,False
242,0.8,False,True,2053819.8333333333,2000624.1666666665,2048358.5,1778.3000000000002,2824.0000000000005,1824.4500000000005,2.3859720445577715,-35.39483002832861,-0.2659110231918338,2.5951751672946166,0.25,0.4925595238095238,0.8779761904761905,0.3640873015873015,False
242,1.0,False,True,2053819.8333333333,2027228.0,2045730.333333333,1778.3000000000002,2121.3500000000004,1797.4000000000003,0.9126912874789062,-15.270935960591135,-0.3938758341266557,1.0740594950233495,0.1123511904761904,0.2492559523809523,0.7549668874172185,0.1852472757753562,False
242,1.2,False,True,2053819.8333333333,2039068.166666667,2045812.6666666665,1778.3000000000002,1957.55,1908.2000000000005,0.3307638317469719,-2.521008403361336,-0.389867043676928,7.304729235787,0.0491071428571428,0.0855654761904761,0.4545454545454545,0.0665101721439749,False
342,0.8,False,True,1542381.5,1518739.3333333335,1538742.0,931.0500000000002,1241.4500000000005,961.4000000000002,1.3170572610880171,-22.558298763542627,-0.2359662638588444,3.259760485473384,0.1532738095238095,0.3980654761904761,0.7427184466019418,0.335676625659051,False
342,1.0,False,True,1545836.8333333335,1541674.6666666667,1542537.1666666665,960.95,1084.85,1029.85,0.0559456556333382,-5.06982532147301,-0.2134550423120496,7.169988032676011,0.0453869047619047,0.1421130952380952,0.4918032786885246,0.1254871395167576,False
342,1.2,False,True,1545836.8333333335,1537037.5,1537316.3333333333,960.95,968.7500000000002,954.85,0.0181409583912772,-1.4348387096774329,-0.5511901266854413,-0.6347884905562151,0.0052083333333333,0.0245535714285714,0.5714285714285714,0.0216903515332834,True
