origin,train_end,test_start,test_end,winner,hgb_wape,seasonal_wape,hgb_minus_seasonal_wape,start_month,start_quarter,months_touched,trailing_mean,trailing_sd,test_mean,test_sd,trailing_cv,test_cv,test_to_trailing_mean_ratio,trailing_zero_fraction,test_zero_fraction,trailing_network_mean,trailing_network_sd,first7_test_network_mean,test_network_mean,standardized_first_week_shift,relative_full_test_shift,hgb_better_geographies,hgb_better_geography_fraction,median_geo_wape_diff,max_geo_wape_diff,min_geo_wape_diff
1,2024-12-30,2024-12-31,2025-01-27,hgb_better,13.66985289837323,51.164387773255855,-37.49453487488263,12,4,2,4579.725806451613,5082.174424748078,5082.6877880184335,5370.397003042388,1.1097141587107907,1.056604774301035,1.1098412294242688,0.14400921658986175,0.13940092165898618,141971.5,66626.71743659019,129213.85714285714,157722.32142857142,-0.19150061502345537,0.1098412294242688,31,1.0,-34.80504549864558,-10.890023585364153,-59.389619508460916
2,2025-01-27,2025-01-28,2025-02-24,seasonal_better,5.123892673783487,4.419879030686628,0.7040136430968592,1,1,2,5082.6877880184335,5370.397003042388,5352.52534562212,5517.615059389377,1.056604774301035,1.0308445742804922,1.0530902390169773,0.13940092165898618,0.12845622119815668,157722.32142857142,66935.09227531349,165366.2857142857,166096.64285714287,0.11418257702828007,0.053090239016977414,20,0.6451612903225806,-0.1873079661969388,7.189079734552941,-5.92137681038366
3,2025-02-24,2025-02-25,2025-03-24,hgb_better,6.311623749388378,6.595220786621334,-0.2835970372329565,2,1,2,5352.52534562212,5517.615059389377,5396.017281105991,5569.578914214304,1.0308445742804922,1.0321722266863315,1.0081251778276736,0.12845622119815668,0.1152073732718894,166096.64285714287,67056.2813032064,167024.2857142857,167445.5357142857,0.01383431897373376,0.008125177827673548,26,0.8387096774193549,-1.1383297085234324,2.265980403178056,-5.964153650447013
4,2025-03-24,2025-03-25,2025-04-21,seasonal_better,23.66312160287225,9.541073730648902,14.122047872223348,3,1,2,5396.017281105991,5569.578914214304,4655.342165898618,5033.745211790027,1.0321722266863315,1.0812821331676795,0.8627344673612258,0.1152073732718894,0.12442396313364055,167445.5357142857,67484.82378002732,163450.85714285713,144459.60714285713,-0.059198172980343326,-0.1372655326387742,0,0.0,13.286417178013347,25.667511189678024,2.087732339615696
5,2025-04-21,2025-04-22,2025-05-19,hgb_better,6.918915213035567,27.27867943569927,-20.359764222663704,4,2,2,4655.342165898618,5033.745211790027,5083.43202764977,5201.126115824184,1.0812821331676795,1.0231534723315316,1.0919638703421559,0.12442396313364055,0.12442396313364055,144459.60714285713,60970.55573693978,157796.85714285713,157744.39285714287,0.21875839526685735,0.09196387034215593,30,0.967741935483871,-18.826854585195275,1.503653481175815,-36.70306967775893
6,2025-05-19,2025-05-20,2025-06-16,seasonal_better,7.55646810748834,6.02317330130022,1.5332948061881193,5,2,2,5083.43202764977,5201.126115824184,4915.545,5193.805555011736,1.0231534723315316,1.0566060655559157,0.9669705301486916,0.12442396313364055,0.12903225806451613,157744.39285714287,63113.10255452902,140384.85714285713,152534.92857142858,-0.27506407040889077,-0.03302946985130842,15,0.4838709677419355,0.1008150143766191,8.917267163361127,-4.9249713685104875
7,2025-06-16,2025-06-17,2025-07-14,seasonal_better,6.227787402676918,5.422976759722936,0.804810642953982,6,2,2,4915.545,5193.805555011736,5136.821428571428,5432.659902193169,1.0566060655559157,1.0575859704321924,1.0450128010678942,0.12903225806451613,0.11981566820276498,152534.92857142858,62808.689594425465,156763.57142857142,159401.4642857143,0.06733253913833475,0.04501280106789422,13,0.41935483870967744,1.1817920907160921,8.098381252195061,-2.2161920432680353
8,2025-07-14,2025-07-15,2025-08-11,seasonal_better,6.123432919054285,5.684770617078629,0.43866230197565614,7,3,2,5136.821428571428,5432.659902193169,4986.695852534562,5396.848636700968,1.0575859704321924,1.0822402197336692,0.970779226519337,0.11981566820276498,0.12442396313364055,159401.4642857143,65754.75237790235,156852.42857142858,154744.2857142857,-0.03876883824388266,-0.02922077348066296,21,0.6774193548387096,-0.2868996375271746,6.192983236222238,-4.0891684496235085
9,2025-08-11,2025-08-12,2025-09-08,seasonal_better,13.70619605455686,7.032446258689328,6.673749795867532,8,3,2,4986.695852534562,5396.848636700968,4746.469124423963,5061.715760987056,1.0822402197336692,1.0664162488977885,0.9518227000338062,0.12442396313364055,0.11981566820276498,154744.2857142857,65340.83417811009,153170.2857142857,147289.25,-0.024079660884404514,-0.04817729996619382,0,0.0,8.917267163361127,19.424841730471955,2.597149788887047
10,2025-09-08,2025-09-09,2025-10-06,hgb_better,5.686566137088653,7.585435017075515,-1.8988688799868622,9,3,2,4746.469124423963,5061.715760987056,5610.667050691244,5839.284247607737,1.0664162488977885,1.0407477519684514,1.182091168095717,0.11981566820276498,0.08294930875576037,147289.25,61210.17996646124,155127.7142857143,174110.67857142858,0.12806898971058514,0.18209116809571716,27,0.8709677419354839,-3.508290954871298,1.2104018034777677,-13.44454703767932
11,2025-10-06,2025-10-07,2025-11-03,hgb_better,6.816932820744231,21.147161880018138,-14.330229059273907,10,4,2,5610.667050691244,5839.284247607737,5770.416129032258,5935.240121869784,1.0407477519684514,1.0285630333456403,1.0284777319337347,0.08294930875576037,0.08294930875576037,174110.67857142858,70658.57459601024,190822.85714285713,178936.7857142857,0.23651739980615463,0.028477731933734654,31,1.0,-10.393441613446828,-1.110190703588377,-28.022905946860316
12,2025-11-03,2025-11-04,2025-12-01,hgb_better,6.699913526538764,8.105445777324896,-1.4055322507861318,11,4,2,5770.416129032258,5935.240121869784,5463.954838709677,5679.337700065445,1.0285630333456403,1.0394211682995115,0.9468894279500425,0.08294930875576037,0.09101382488479262,178936.7857142857,71884.76893551824,174985.42857142858,169382.6,-0.05496521471470361,-0.053110572049957514,24,0.7741935483870968,-1.1478211577139514,8.191417116316648,-13.810189553704087
13,2025-12-01,2025-12-02,2025-12-29,hgb_better,11.283572938708762,20.677240130145238,-9.393667191436476,12,4,1,5463.954838709677,5679.337700065445,4721.02534562212,5224.3683382166,1.0394211682995115,1.1066146449930044,0.8640136006614857,0.09101382488479262,0.13940092165898618,169382.6,68720.90423876832,168642.14285714287,146351.7857142857,-0.010777144169798135,-0.1359863993385143,31,1.0,-20.696196834050653,-6.550464846204581,-33.27271120909907
